rep_number,first_name,last_name,party,Har ingen registreringspliktige interesser,Styreverv mv.,Selvstendig næring,Lønnet stilling mv.,Tidligere arbeidsgiver,Framtidig arbeidsgiver,Økonomisk støtte,Eiendom i næring,Aksjer mv.,Utenlandsreiser,Gaver,Opplysninger om selskapsgjeld,Andre forhold,Ingen registrerte opplysninger
19,Abid Q.,Raja,V,,,"Har registrert forfatter/foredragsvirksomhet (org.nr.):
Honorert foredrag for CappelenDamm
Honorert oppdrag som stipendkomitemedlem NFF
Honorert for TV-serie for NRK
Honorar fra Fritt-Ord for debatt
Honorert foredrag Skedsmo kommune
Honorert for TV-program TVNorge over 50.000
Honorert foredrag for Confex
Honorert foredrag for Choice",,"Pensjonsrettigheter fra tidligere statlige stillinger som
nemndleder Utlendingsnemnda, politiadvokat og ambassadesekretær.",,"Stefanus-alliansen Norsk Helsingforskomite bistår med
hjelp i forbindelse med religionsfrihetsarbeidet jeg vært
engasjert i.",,,"Opphold i USA 3 uker i februar 2010 ifbm ""IVYProgramme"", sendt av den amerikanske ambassaden.
FORB - religionsfrihetskonferanse, Oxford, juni 2013 flybillett og opphold dekket av British Council gjennom
FORB, kostnader hjemme dekket av Venstre.
FORB-styremøte Washington, opphold 3 dager mars
2015 dekket som ovenfor, kostnader hjemme dekket av
Venstre.
FORB-styremøte London 2016 samt møte med House of
Lords, dekket av USCIRF, kostnader hjemme dekket av
Venstre.
Innledet konferanse i Taiwan om religionsfrihet 2016,
flybillett og hotell dekket, kostnader hjemme dekket av
Venstre.
Delegasjonsreise til Myanmar regi IPPFORB, besøk hos
tre dep i ny regjering og parlament, flyreise og hotell
dekket av USCIRF, kostnader hjemme dekket av Venstre.
Konferanse i Berlin regi IPPFORB, dekket av Helsingforskomiteen.","Diverse sportstøy merke ""Icepeak"" og ""Fjellreven"" fra
Friluftsforeningen i anledning ambassadøroppdrag for
Friluftslivets år 2015.
2015: Skiklær og staver i forbindelse med TV-program
med Bjørn Dæhlie.
2015: Skiklærpakke fra Aktiv mot kreft, som deres ambassadør i Birkebeinerrennet.
Sommer 2015 i forbindelse med sykkeltur LindesnesNordkapp: Tesla-lånebil i 4 uker, lån av 2 sykler/hjelm
fra Specialized, sykkelklær til låns fra ASAO - uten forpliktelse til bruk.
Energibarrer fra YT til medsyklist og meg selv, verdi 4
223 kr.
2015: Adidas sko, shorts, trøye fra P4 i anledning program om løpestunt /Oslo-halvmaraton.
2015: Champagne fra Se og Hør, gitt bort.
2015: Teaterbilletter Latter.
2015: Billetter Det nye norske teater.
2016: 2 billetter boksekamp Homecoming Spektrum.
2016: Teaterbilletter Latter.
2016: Nationaltheater billetter.",,,
73,Steinar,Reiten,KrF,,,,,"Avtale med Averøy kommune om ulønnet permisjon fra
min stilling som lærer hele inneværende stortingsperiode.","Avtalen som jeg har med Averøy kommune om ulønnet
permisjon gjør at jeg beholder opparbeidet kommunal
tjenesteansiennitet.",,,,,,,,
45,Kristian Tonning,Riise,H,True,,,,,,,,,,,,,
50,Magne,Rommetveit,A,True,,,,,,,,,,,,,
17,Nina,Sandberg,A,,Nestleder Akershus Arbeiderparti - ulønnet,,,,,,"Nordre Krange, sameie, Nesodden. En større og en mindre driftsbygning leies ut til næringsvirksomhet.",,,,,,
44,Nils Kristen,Sandtrøen,A,True,,,,,,,,,,,,,
7,Gisle Meininger,Saudland,FrP,,"Daglig leder Flekkefjord Utstyrshandel - ikke lønnet
Vara til styret i Flekkefjord Utstyrshandel - ikke lønnet",,,,,,,"Eier 100% av GMY, 964 495 769
Eier 80% av Flekkefjord utstyrshandel, 999 174 396
Eier 10% av 2Soler, 912 590 178",,,,,
162,Ingjerd,Schou,H,,"Styreleder Punkt Ø (Momentum og Galleri F 15) (godtgjørelse)
Styremedlem Lovisenberg Diakonale Høgskole fra juni
2013 (godtgjørelse)
Styreleder Delta gruppen as fra april 2014 (godtgjørelse)",Registrert enkeltmannsforetak høsten 2010,,,,,,,,,,,
131,Åslaug,Sem-Jacobsen,Sp,,"-Styremedlem i frivilligsentralen på Notodden - ulønnet
-Medlem av det folkevalgte utvalget for næring, miljø og
stedsutvikling på Notodden - møtegodgjørelse (foreløpig
- har søkt fritak)","Jeg eier en gård som heter Roe i Notodden kommune
hvor vi leier ut jorda men drifter skog selv, samt er med i
sameiget i fjelleiendommen Godviljån i Hjartdal kommune med 3 andre.",,"Jeg har 100% permisjon fra NRK P3, Oslo.
Ingen lønn eller honorarer derfra.",,,"- Jeg eier (eneier) gården Roe i Notodden kommune (Gn
26 Bn 1)
- Jeg er med i sameiget Godviljåen i Hjartdal kommune
(Kommunenummer 0827, Gn 21, Bn 7) Har 25% andel.
-Jeg eier en hybelleilighet i Parkveien 1, i Oslo kommune (kommunenummer 0301, Gn 214,Bn 241, seksjonsnummer 22) sammen med min mann Dagfinn SemJacobsen.","-Jeg har registtrert enkeltmannsforetaket Semsalabim
tidlig 2000-tallet. det har ligget brakk siden jeg ble fast
ansatt i NRK",,,,,
74,Eirik,Sivertsen,A,,Styremedlem Fine A/S (ulønnet),,,Permisjon fra Nord universitet til 01.11.2017,,,,Eier 49 % av Fine AS gjennom B-aksjer - investeringsselskap,,,,,
37,Runar,Sjåstad,A,,"Fylkesordfører i Finnmark, lønnet
Styremedlem Finnmarkseiendommen, lønnet verv
Medlem i repr.skapet i Barentssekretariatet, ulønnet
Har søkt fritak for samtlige verv og søknaden vil bli behandlet 25.oktober 2017.",,Se punkt 2,"Permisjon fra Norsk Arbeidsmandsforbund, ulønnet",,,,,,,,,
143,André N.,Skjelstad,V,,,"Gårdsbruk, jord og skogeiendom",,,,,"Gårdsbruk, jord og skogeiendom",,,,,,
113,Torstein Tvedt,Solberg,A,,,,"Øya Festivalen 2014 (engasjement)
Medieanalytiker Intermedium AS (avsluttet)",,,,,,"Reise til USA
International Visitor Leadership Program
Tema: “The Contemporary U.S. Economy: Financial
Markets, Trade,
and Economic Development” (7. feb-1.mar, 2015)
Opphold dekket av: U.S. Department of State","Gave av det sveitsiske parlamentet i forbindelse med
OSSE PA møte i Geneve høsten 2014 - klokke til ca.
verdi 3000,- NOK
Deltagelse 2 dager på Ungdom OL på Lillehammer 2016
dekket av Idrettsforbundet (overnatting og mat)",,,
72,Vetle Wang,Soleim,H,,"Styremedlem Ulli Holding AS (Org. nummer 923 073
825), ikke godtgjørelse.",,,,,,,"Vestsmøla Eiendom AS (Org. nummer 915 263 011),
aksjeselskap, 2 aksjer",,,,,
114,Roy,Steffensen,FrP,,,,,,,,,"Aksjebeholdning per 2.nov 2017:
100 % av aksjene i BataRoyes Invest AS",,,,,
112,Sveinung,Stensland,H,,Styremedlem i stiftelsen Haugesjøen (ikke godtgjørelse).,,,"Jeg er ansatt som, men har permisjon fra stilling som regionsjef i Apotek1 Norge AS. Ettersom jeg ikke mottar
lønn fra jeg ble stortingsrepresentant er jeg utmeldt av
permisjons- og forsikringsordninger.","Om jeg trer ut av Stortinget, har jeg rett på ny stilling
(med de betingelser jeg hadde før permisjonstiden) i
Apotek1 Norge AS.",,,"Jeg eier ingen verdipapirer utenom en fripolise, indeksfond og IPS","Jeg deltok som paneldeltaker på en konferanse i Stockhom i oktober 2019, denne ble arrangert av MSD og de
betalte flyreise og en natt på hotel
Jeg deltok på en studietur en uke i mars 2019 til Niger i
regi av friends og global fund, de dekket reise og opphold.",,,,
119,Aleksander,Stokkebø,H,,"Lønnet/godtgjort (men vil søke permisjon fra disse i tiden som stortingsrepresentant):
Folkevalgt i Stavanger kommune, bystyremedlem og
medlem av kommunalstyret for oppvekst.
Folkevalgt i Rogaland fylkeskommune, fylkestingsmedlem og medlem av opplæringsutvalget, vara til folkepulsen Rogaland, vara til årsmøte i KS.
Også i tiden som stortingsrepresentant: Styremedlem i
Vestavind brukerstyrt senter, region Vest.",,,,,,,"Enkeltaksjer i Equinor, Aker BP, Grieg Seafood, SalMar,
NEL, Norsk Hydro, EAM Solar, Scatec Solar.",,,,,
156,Morten,Stordalen,FrP,True,,,,,,,,,,,,,
126,Tore,Storehaug,KrF,True,,,,,,,,,,,,,
84,Marit Knutsdatter,Strand,Sp,,"Medlem av Kommunestyret i Øystre Slidre Kommune
2015-2019 (godtgjørelse ved møter
)
Styreleder for Senterpartiets Studieforbund 2018-2020
(godtgjørelse ved møter)
Medlem av Styret i Voksenopplæringsforbundet 20192021(godtgjørelse ved møter)
Styremedlem Vofo fra 29. mai 2019 (honorar pr. møte).",,"Timebasert Landbruksavløser, Valdres Avløsertjenester
AS",,,,,,,,,,
38,Bengt Rune,Strifeldt,FrP,,,,,,,,,,,,,,True
90,Jonas Gahr,Støre,A,,"Leder i Arbeiderpartiet (firmabilordning)
Parlamentarisk leder i Arbeiderpartiets stortingsgruppe
(lønn)
Styreleder i Femstø AS (ulønnet)
Styremedlem International Crisis Group (ulønnet)
Medlem i Ocean Unite Network (ulønnet)
Medlem av Samarbeidskomiteen LO-AP (ulønnet)
Leder SAMAK (ulønnet)
Medlem av EAT Advisory Board (ulønnet)","Inntekt fra bokutgivelse ""I bevegelse"", Cappelen Damm
2014",,,,,,"Femstø AS (76,23 pst. eierandel)
Aksje i Sauda Folkets Hus AS (1 aksje)","International Crisis Group (delvis dekning - hotellopphold, Paris 25.-27. april 2019, Berlin 13.-15. april 2018,
New York 20.-22. oktober 2017, Brussel 28. april-30.
april 2017 og Brussel 8.-10. april 2016)","2 billetter fotballkamp 09.08.2015 fra NOR AS
Madshus - Skipar (Redline Carbon Classic Cold)
08.12.16",,,
101,Siri Gåsemyr,Staalesen,A,True,,,,,,,,,,,,,
77,Hanne Dyveke,Søttar,FrP,True,,,,,,,,,,,,,
110,Hadia,Tajik,A,,"**Parlamentarisk nestleder i Arbeiderpartiet - mottar
godtgjørelse","**Enkeltmannsforetaket Tajik Media. Holder diverse
foredrag/skriver tekster.
**Honorar 2012 for tekster til digitalt læremiddelverk
om politikk og menneskerettigheter, Aschehoug forlag.
Honoraret er utbetalt direkte til organisasjonen Leger
uten grenser.
**Honorar 2012 for oppdrag i forbindelse med programposten ""Jul i P2"" på NRK P2, utbetalt direkte til menneskerettighetsorganisasjonen Norsk PEN.
**Honorar 2012 for trykking av tale ifm åpningen av
Språkåret i boken ""Nye vegar til nynorsk"", Cappelen
Damm. Utbetalt direkte til Amnesty International.
**Fra juni 2015: Honorar for gjestekommentarer i Aftenposten. kr 6000,- per artikkel. Deler av honoraret er
gitt til Care.
Avsluttet mars 2019
**19. november 2015: Honorar for tale ved SR-Bank sin
Årsmiddag. Honoraret er donert til Flyktninghjelpen.","** Kontrakt inngått 19. juni 2014 med tvproduksjonsselskapet Monkberry om å utvikle og spille
inn 3 episoder av nytt programkonsept som skal sendes
på NRK. Honorar overstiger 50.000 kr.",,,,,,"27.okt - 31.okt, 2017 - Reise til NewYork, dekket av
New York Review Conference/ Fritt Ord, populismekonferanse
Fly tur/retur: 10775 NOK
Hotell: 26 687 NOK (3281 USD)
Taxi fra flyplass til hotell: 618 NOK (76,11 USD)",8. juni: Middag og landskamp i fotball (Ullevål stadion) giver Bama (anslått verdi kr. 1500-2000),,,
91,Michael,Tetzschner,H,,"Styreleder Oslo Hospital- Stiftelse og A/S (godtgjørelse)
Styreverv Ullevaal Stadion Idrett A/S - Ullevaal Business Class AS- Ullevaal Stadion A/S (godtgjørelse)
Styremedlem FJ Stenersen A/S (ingen godtgjørelse)
Styremedlem NAI Fiat Partner (godtgjørelse)
Styreleder Digital Venture A/S (ingen godtgjørelse)
Medlem av Kong Olav Vs fond, Danmark. (ingen godtgjørelse)",Tetco Advokatfirma A/S,,,,,,Tetco Advokatfirma A/S,,,,,
85,Olemic,Thommessen,H,,"Styremedlem Gudbrandsdølen A/S (godtgjørelse)
Styremedlem Gudbrandsdølen Eiendom A/S (datterselskap av Gudbrandsdølen A/S) (Ingen godtgjørelse)
Styremedlem Overlege Knut Bergs fond (godtgjørelse)
Styremedlem Bjørnson Prodan Foundation (ingen godtgjørelse)",Personlig selskap Helikon - Olemic Thommessen,,,,,,"Gudbrandsdølen AS
Orkla ASA
DNB ASA
Statoil ASA
Storebrand ASA
DNO ASA
Norsk Hydro ASA
SPB 1 BV
Sandnes Sparebank
Photocure ASA
Edelson AS
Alle: Eierandel mindre enn 1 %",,"Ett sett av Islendingesagaene fra forlegger Johann Sigurdsson i Saga Forlag. Gitt i forbindelse med besøk på
Island - juli 2014",,,
55,Kjersti,Toppe,Sp,True,,,,,,,,,,,,,
115,Geir Sigbjørn,Toskedal,KrF,,"Leder Nord-Rogaland Symfoniorkester, ulønnet
Styremedlem Haugalandsmuseene AS, honorar pr møte
Styremedlem Storhall Karmøy AS, ulønnet
Styremedlem MUNOR AS, ulønnet","GST - Elevér eget foretak/konsulentvirksomhet. Lav
aktivitet fra jan.2019",Seniorkonsulent Oppvekst og kulturetat Karmøy kommune 10% stilling,"Seniorkonsulent Karmøy kommune, 10% fleksibel stilling, ordinær lønn
Lærer Karmøy Folkehøgskule, 10% stilling, årelang
permisjon uten lønn","Med 10% stilling nå har jeg 90% permisjon fra 100%
stilling som seniorkonsulent i Karmøy kommune, oppvekst og kulturetat. Dette startet 22.01.19 ved inntreden i
Stortinget som 1. vara ved ny regjering.","Karmøy kommune, seniorkonsulent ca 70.000 pr år",,,"Deltok privat og for egen regning ved 75-årsjubileet for
D-dagen i Normandie 2019, første uke i juni.
Reise til Israel og Vestbredden 5 dager sept. 2019 sammen med 7 andre i regi av ""Israels venner på Stortinget""
for å fremme handel, forskning og samarbeid. KrF Stortinget dekket mine kostnader.",,,,
49,Ove,Trellevik,H,,,,,"Har ulønnet permisjon fra BKK AS. Midlertidig utmeldt
av pensjonskasse så lenge permisjonen varer.",,,,,,,,,
42,Anette,Trettebergstuen,A,,"Sentralstyremedlem Europabevegelsen (ulønnet)
Rådsmedlem Likestillingssenteret Hedmark (ulønnet)
Styremedlem i magasinet Blikk (ulønnet)","Registrert enkeltmannsforetak DJ virksomhet
Honorar fra TVNorge for deltakelse i TV-programmet ""4
Stjerners middag"" høsten 2012",,,,,,,"Reise med AOF til Manila, Filippinene november 2005
for å se på samarbeid med fagorganisasjoner der
April 2009 - reise til Taiwan betalt av taiwanske myndigheter
Juni 2012 - møteprogram i Paris arrangert av det franske
utenriksdepartementet, som dekket hotellovernatting.
Øvrig opphold og reise ble dekket av Arbeiderpartiet.",,,,
11,Tone Wilhelmsen,Trøen,H,,,,,,,,,Aksje i Raumnes AS (Eierandel: mindre enn 1 %),,,,,
94,Christian,Tybring-Gjedde,FrP,True,,,,,,,,,,,,,
106,Mathilde,Tybring-Gjedde,H,,,,,,,,,,,,,,True
43,Trygve Slagsvold,Vedum,Sp,,Leder av Senterpartiet (godtgjørelse),"Gårdbruker. Enkeltpersonforetak tilknyttet drift av Bjørby gård, Stange kommune.",,,,,Bjørby gård i Stange kommune (0417-239/1).,,"To dagsreiser til England for å møte representanter for
det engelske boligsamvirket og britiske politikere. Betalt
av firmaet Hedalm Anebyhus. (I stortingsperioden 20052009)",,,,
130,Lene,Vågslid,A,,"Nestleder Norsk Hardingfelesenter AS, lønnet
Medlem regional rovviltnemd, lønnet
Medlem offentleg utval for bustadpolitikk, lønnet
Medlem Telemark fylkesting, lønnet
Medlem hovedutvalg for kompetanse, lønnet
Medlem fylkesutvalg, lønnet",,,Søkt permisjon fra de tre sistnevnte verv under punkt 2.,,,,,,,,,
157,Lene,Westgaard-Halle,H,,"Fylkestingsrepresentant, Vestfold (godtgjørelse).",,,,,,,,,,,,
168,Erlend,Wiborg,FrP,,"Varamedlem Moss kommunestyre (møtegodtgjørelse pr
møte)
Medlem, administrasjonsutvalget, Moss(godtgjøring pr
møte)
Styremedlem, Moss havn KF(godtgjøring)
Medlem i Moss kommunale Pensjonskasse, (mottar fast
godtgjøring)",,,,,,,,,,,,
22,Nicholas,Wilkinson,SV,,"Leder valgkomiteen i Follo Human-Etisk Forbund, ikke
honorar.
Medlem av valgkomiteen borettslaget Nordre Skrenten,
Oppegård, ikke honorar.",,,,,Akershus SV yter sekretærbistand for arbeid i fylket,,,,,,,
30,Morten,Wold,FrP,True,,,,,,,,,,,,,
169,Freddy André,Øvstegård,SV,,"Styremedlem i stiftelsen Sex og Samfunn, har sagt fra
meg honorar.
Styremedlem i Foreningen Norden, ikke honorert.",,"Servicemedarbeider, NSB.",,,,,,,,,,
158,Maria,Aasen-Svensrud,A,,"Kommunestyremedlem, Horten (honorert)
Formannskapsmedlem, Horten (honorert)
Havnestyremedlem, Horten (honorert)
Vara, Stiftelsen gamle Åsgårdstrand
Tiltredende styret i Horten Arbeiderparti
Nestleder, Vestfold Arbeiderparti
Medlem fagligpolitisk samarbeidskomite, Vestfold Arbeiderparti
Tiltredende fylkestingsgruppe, Vestfold Arbeiderparti
Sentralstyremedlem, Arbeiderpartiet",,,,,,,,,,,,
127,Terje,Aasland,A,,Styreleder i Bølebåtens venner - org.nr. 992 528 443,,,Permisjon fra EL & IT Forbundet Vestfold/Telemark,,,,,,,,,
83,Rigmor,Aasrud,A,,"15.06.2014-30.6.18 Styremedlem i Sjømannskirken (ingen godtgjørelse).
29.05.2016-30.0618 styremedlem Norges Skiforbund
(styrehonorar).
30.06.2017 - 1.7.2019 varamedlem styret til Stiftelsen
Røysumtunet (møtegodtgjørelse).
1.7.2019 -            Styremedlem Stiftelsen Røysumtunet
01.02.2016 - styremedlem Sameiet Sandødegården (bosted) - (godtgjørelse).",,,,,,,,"Leder for delegasjon til Poznan, Polen. Uformelt ministermøte e-government, 16.-18.11.2011. Invitert av det
polske EU-formannskapet, som betalte hotelloppholdet.","Fat m. gravering mottatt av Gran Handel og håndverk
(""Potetprisen"").
Jakke med innvevd logo mottatt av Norges Skiforbund i
forb med SkiVM Representasjonsklær til bruk i forbindelse med arrangement fra Skiforbundet.",,,
184,Nikolai,Astrup,H,,,,,,,,,"Pactum Beta AS (100 %).
Pactum Beta AS er et holdingselskap som eier 24,42 %
av aksjene i familievirksomheten Pactum AS.
Pactum AS investerer i aksjer og andre verdipapirer,
shipping og næringseiendom. Porteføljen oppgis i henhold til § 9 her (per 30.09.19):
Aksjer:
Aker BP ASA.
Anchor Secondary V Ltd.
Arnarlax AS
Bjørgvin Vekst I AS
B2 Holding ASA
Borr Drilling LTD
Coor Service MGMT AS.
DFDS AS.
East Capital Financials Fund AB
Euromedica Norge AS
EAM Solar ASA
Energeia AS.
Equinor ASA.
Euronav NV
Flex LNG LTD
Gamba Natural International AS
Hitec Vision AS
Instalco AB
Inwido AB
JM AB
Knowit AB
Kone 047
Lerøy Seafood Group ASA
MOWI ASA
Nobia AB
Nokian Renkaat Oyj
NorAm Drilling Company AS
Pareto Bank ASA
Salmar ASA
Selvaag Bolig AS
Ship Finance LTD
 Storm Real Estate ASA
 Stora Enso Oyj
 TGS-NOPEC Geophysical Company
 UPM-Kymmene Oyj
 Vaneck Vectors Oil Services
 Vanguard MSCI Emerging Markets
 Vistinpharma ASA
 Yara International AS
Obligasjoner:
Ekornes
 Euronav Luxembourg
 GasLOG LTD
 Green Cube Innovation
 ICE Group Scandinavia Holdings AS
 Pandion Energy AS
 Siclar Point Energy
Skip/Offshore:
 Burgundy Container AS
 Skomvaer Bulker AS
 Octavian Bulker DIS
 High Yield Shipping DIS
 Lesley Product DIS
 Henrietta Product DIS
 Parcar AS
 Greenbarge DIS
 Sole Shipping Special Opportunities II
 RAN BARGE DIS
 Ross Wisconsin AS
 Northern Supply AS
Eiendom:
Alf Bjerckes vei AS
 Helsebygg Invest AS
 Offentlig Bygg Hamar AS
 Ski Eiendomsinvest AS
 TRD Campus Holding AS
 Vestby Logistikkbygg IS
 SPG Bolig Jessheim AS
 SPG Group Bostad Vega AB
 Union Real Estate Fund AS
 Union Real Estate Fund II AS
 Molde Eiendomsinvest AS
 SPG Tangen AS
 Yttersjø Businesspark Invest AS
Grønvold Gård Holding AS
Bommestad Invest AS
Brennaveien 20 Invest AS
Åssiden omsorgsboliger AS
Køge eiendomsinvest AS","9 - 21. mai 2010 - reise i USA (Washington DC, Oklahoma og California) som deltaker på International Visitor Leadership Programme, betalt av US Department of
State","Ladekabel for elbil, type 2, gave fra Fortum i mai 2014.",,,
182,Frank,Bakke-Jensen,H,,"Styreleder Båtsfjord Reiseservice A/S (lønnet)
Styreleder Sjurelv AS (ulønnet)",100 % eier i Båtsfjord Reiseservice AS,,,,,,Båtsfjord Reiseservice A/S,,"Mottok tre tepper fra afghanske myndigheter i januar
2018. Teppene er taksert og fortollet.",,,
188,Olaug Vervik,Bollestad,KrF,,"Styremedlem i Watoto, ulønnet.
Styremedlem i Brannvesenet Sør- Rogaland, lønnet.",,,Ulønnet permisjon fra Stavanger Universitetssykehus.,,,,,,,,,
181,Jon Georg,Dale,FrP,,"Medlem Volda kommunestyre (møtehonorar)
Medlem Fylkestinget i Møre og Romsdal (møtehonorar)",,Politisk rådgiver i Fremskrittspartiets stortingsgruppe,,,,,,,,,,
183,Ola,Elvestuen,V,,Første nestleder i Venstre (godtgjørelse),,,,,,,,,,,,
187,Kjell-Børge,Freiberg,FrP,,"Styremedlem Nordland FrP, ikke lønnet
Styremedlem i Innlandet Lokalutvalg, ikke lønnet",,,,,,,,,,,,
